step,epoch,epoch_step,loss,learn_rate
500,499,0,0.2067333,0.004
1000,999,0,0.1231094,0.004
1500,1499,0,0.1594355,0.004
2000,1999,0,0.1393467,0.004
2500,2499,0,0.2562910,0.004
3000,2999,0,0.1647361,0.004
3500,3499,0,0.1398573,0.004
